pid,format,categoria,title,creator_s,translation,language,organization,year,original_link
recsp01,libros,Historia/Contexto/Investigación,Tiempo suspendido. Una historia de la desaparición forzada en México 1940-1980,Camilo Vicente Ovalle,,Español,Bonilla Artigas Editores,2019,https://bonillaartigaseditores.com/products/tiempo-suspendido-una-historia-de-la-desaparicion-forzada-en-mexico-1940-1980-vicente-ovalle-camilo
recsp02,libros,Historia/Contexto/Investigación,Drama social y política del duelo: Las desapariciones de la guerra contra las drogas en Tijuana,Carolina Robledo Silvestre,,Español,COLMEX,2017,https://www.jstor.org/stable/j.ctv2tw0dk
recsp03,libros,Testimonios y Experiencias,El tiempo de Ayotzinapa,Carlos Beristain,,Español,Akal,2017,https://www.akal.com/libro/el-tiempo-de-ayotzinapa_49823/
recsp04,libros,Testimonios y Experiencias,Grieving. Dispatches from a Wounded Country,Cristina Rivera Garza,Sarah Booker,Inglés,The Feminist Press,2011,https://www.feministpress.org/books-a-m/grieving
recsp05,libros,Testimonios y Experiencias,Ya no somos las mismas: Y aquí sigue la guerra,Daniela Rea (editora),,Español,Grijalbo - Pie de Página,2020,https://www.penguinrandomhouse.com/books/669911/ya-no-somos-las-mismas-y-aqui-sigue-la-guerra--we-are-no-longer-the-same-and-here-the-war-continues-by-daniela-rea/
recsp06,libros,Historia/Contexto/Investigación,Capitalismo antidrogas. Una guerra contra el pueblo,Dawn Marie Paley,,Español,Libertad Bajo Palabra,2020,https://www.dawnpaley.ca/s/paley-capitalismo-antidrogas.pdf
recsp07,libros,Historia/Contexto/Investigación,Guerra Neoliberal. Desaparición y búsqueda en el norte de México,Dawn Paley,,Español,Libertad bajo palabra,2020,https://libertadbajopalabraz.wordpress.com/portfolio/guerra-neoliberal-desaparicion-y-busqueda-en-el-norte-de-mexico/
recsp08,libros,Testimonios y Experiencias,Procesos de la noche,Diana del Ángel,,Español,Almadía,2017,https://almadiaeditorial.com/producto/procesos-de-la-noche/
recsp09,reporte,Estudios de Caso,Informe Ayotzinapa. Investigación y primeras conclusiones de las desapariciones y homicidios de los normalistas de Ayotzinapa,Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,Español,GIEI,2015,https://prensagieiayotzi.wixsite.com/giei-ayotzinapa/informe-
recsp10,reporte,Estudios de Caso,"Informe Ayotzinapa II. Avances y nuevas conclusiones sobre la investigación, búsqueda y atención a víctimas",Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,Español,GIEI,2016,https://prensagieiayotzi.wixsite.com/giei-ayotzinapa/informe-
recsp11,reporte,Estudios de Caso,Informe Ayotzinapa III. Resumen,Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,Español,GIEI,2022,https://centroprodh.org.mx/2022/03/29/informe-giei-ayotzinapa-iii/
recsp12,libros,Historia/Contexto/Investigación,Cuerpos liminales. La performatividad de la búsqueda,Ileana Diéguez Caballero,,Español,Ediciones DocumentA/Escénicas,2022,http://edicionesdocumenta.com.ar/2022/01/cuerpos-liminales-la-performatividad-de-la-busqueda/
recsp13,libros,Testimonios y Experiencias,Una historia oral de la infamia. Los ataques contra los normalistas de Ayotzinapa,John Gibler,,Español,Sexto Piso,2020,https://www.penguinrandomhouse.com/books/578450/una-historia-de-violencia-vida-y-muerte-en-centroamerica--a-history-of-violence-by-oscar-martinez/
recsp14,libros,Historia/Contexto/Investigación,Una historia de violencia. Vivir y morir en Centroamérica,Óscar Martinez,,Español,Debate,2017,https://www.penguinrandomhouse.com/books/578450/una-historia-de-violencia-vida-y-muerte-en-centroamerica--a-history-of-violence-by-oscar-martinez/
