pid,nombre,type,country,state,municipality,address,phone,email,web,social_media1,social_media2,,,
org1,10 de marzo,Colectivo,México,Tamaulipas,,,,,,https://twitter.com/c1003r,,,,
org2,A Dónde Van Los Desaparecidos ,Journalism,México,,,,,contacto@adondevanlosdesaparecidos.org,https://adondevanlosdesaparecidos.org/mapaestados/michoacan-de-ocampo/,https://www.facebook.com/adondevanlosdesaparecidos,,,,
org3,Águilas del Desierto,NGO,US,California,Fallbrook,,,aguilas.del.desierto@hotmail.com,https://aguilasdeldesierto.org/,https://www.facebook.com/aguilas.búsquedayrescate,,,,
org4,Alondras Unidas en Búsqueda y Justicia ,Colectivo,México,Estado de México,,,5518210928,,,https://www.facebook.com/Colectivo-Alondras-unidas-en-b%C3%BAsqueda-y-Justicia-100639721505020/,,,,
org5,Amnistía Internacional,InternationalOrganization,México,Ciudad de México,,"Luz Saviñon 519, Col del Valle Nte, Benito Juárez, 03103 Ciudad de México, CDMX, Mexico",442074135500,,https://www.amnesty.org/es/what-we-do/disappearances/,https://www.facebook.com/amnesty,https://twitter.com/amnesty,,,
org6,Amores,Colectivo,México,Nuevo León,,,528183435058,,https://cadhac.org/amores-cadhac-y-pgjnl-revisan-expedientes-y-avances-en-reunion-no-30/?fbclid=IwAR04Mm87BciEXy-tn49GyEiwyUPDAQsjx5SqWX_DctKfX8xyNs1UCFwP3v0,https://www.facebook.com/amoresdnl,,,,
org7,Armadillos Búsqueda y Rescate SD,Colectivo,US-México,Arizona,,, 17603042553; 17602704770,,https://www.armadillosbyr.org/explorar-en-espanol/contactar,https://www.facebook.com/ArmadillosByRSD/,,,,
org8,Armadillos Ni un Migrante Menos,NGO,US-México,,,,17606858499,armadillosmigrantessomos@gmail.com,https://www.niunmigrantemenos.org/,,,,,
org9,Artículo 19 ,NGO,México,Ciudad de México,Miguel Hidalgo,"Av. José Vasconcelos 131, San Miguel Chapultepec I Secc, Miguel Hidalgo, 11850 Ciudad de México, CDMX
Mexico",52550546500,comunicacion@article19.org,https://articulo19.org/,https://www.facebook.com/Articulo19/,https://twitter.com/Article19Mex,,,
org10,Asociación de Familiares de Detenidos Desaparecidos y Víctimas de Violaciones a los Derechos Humanos en México (AFADEM),Colectivo,México,Regional,,,520445528936354,afadem.sec.ejec@hotmail.com,,,,,,
org11,Asociación Unidos por los desaparecidos de Baja California A.C.,Colectivo,México,Baja California,,,,,,https://www.facebook.com/Asociacion-unidos-por-los-desaparecidos-de-Baja-California-AC-171581592926968/about/?ref=page_internal#_=_,,,,
org12,Brigada Humanitaria de Paz Marabunta (BHPM),Solidarity,México,,,,525523111434,brigadamarabunta@gmail.com ,,https://www.facebook.com/bhPAZm/?ref=page_internal,,,,
org13,Brigada Internacional de Búsqueda de Personas Desaparecidas,Solidarity,México,,,,,brigadainternacionalmx@gmail.com,https://www.brigadainternacionalmx.com/inicio,https://www.facebook.com/brigadainternacionaldebúsqueda?_rdc=1&_rdr,,,,
