pid,orden,label,document_category,document_ type,intended_audience,creator_s,year ,summaryESP,summaryEN,source,,Contacto para pedir permiso,BRU contact,Status of permission,Permission in folder ,,,Official description
doc001,1,Principios Rectores para la Búsqueda de Personas Desaparecidas,Voces desde la búsqueda,Principios rectores,Público General y Recurso para colectivos y personas buscadoras,Oficina en México del Alto Comisionado de las Naciones Unidas para los Derechos Humanos y Comisión Nacional de los Derechos Humanos,2019,Dieciséis principios rectores para la búsqueda de personas desaparecidas enfatizando el papel de las víctimas en la búsqueda.,Sixteen guiding principles during the search for the disappeared emphasizing the role of victims in the search.,https://www.cndh.org.mx/documento/principios-rectores-para-la-busqueda-de-personas-desaparecidas,,Documento público CNDH,,,,,,
doc002,2,Caminos para la búsqueda en vida: saberes y experiencias de familias y colectivos,Herramientas para la búsqueda,Guía Búsqueda en Vida,Recurso para colectivos y personas buscadoras,GIASF - Grupo de Investigación en Antropología Social y Forense; SERAPAZ - Servicios y Asesoría para la Paz,2020,"Recopilación de prácticas en torno a la búsqueda en vida, reconociendo a las familias como expertas y productoras de saberes.","Compilation of practices related to the search in life, recognizing families as experts and producers of knowledge.",https://www.giasf.org/publicaciones-del-giasf.html,,Carolina Robledo: carolina.robledo@ciesas.edu.mx o May-ek Querales: mayekerales@gmail.com,Giorgia,Approved,,,,"La guía “Caminos para la búsqueda en vida: saberes y experiencias desde familias y colectivos” es un trabajo colaborativo del Grupo de Investigación en Antropología Social y Forense (GIASF) y la organización Servicios y Asesoría para la Paz, A. C. (Serapaz). Estas páginas pretenden ser una herramienta que facilite el camino a quien busca a un ser querido desaparecido. Buscan proveer datos, consejos y aspectos de interés que resultan poco accesibles en esos primeros momentos en los que es tan importante actuar, con acento especial en las mujeres y las personas migrantes, quienes se encuentran en situación de vulnerabilidad añadida. La guía también recoge recomendaciones para extender la búsqueda de personas desaparecidas con vida a través de los años."
doc003,3,Guia de Búsqueda de Personas Desaparecidas con Enfoque en la Verdad y la Justicia,Herramientas para la búsqueda,Guia Búsqueda en Campo,Recurso para colectivos y personas buscadoras,GIASF - Grupo de Investigación en Antropología Social y Forense,2018,Guía de búsqueda de personas desaparecidas dirigida a familiares y personas solidarias con enfoque en la verdad y la justicia.,"A guide for families and people in solidarity searching for the disappeared, with a focus on truth and justice.",https://www.giasf.org/publicaciones-del-giasf.html,,Carolina Robledo: carolina.robledo@ciesas.edu.mx o May-ek Querales: mayekerales@gmail.com,Giorgia,Approved,,,,"La Guía es una síntesis de los aprendizajes obtenidos en una serie de talleres impartidos por el GIASF desde 2016, en la Ciudad de México, Veracruz, Coahuila, Sinaloa, Tijuana, Ciudad Juárez y Monterrey, y tiene como objetivo poner la información al alcance de más personas para reducir el acceso diferenciado a la justicia que produce la distribución desigual del conocimiento experto jurídico y forense. En estas páginas encontrarán información sobre la ruta de búsqueda de personas desaparecidas y el papel que pueden desempeñar los familiares y colectivos acompañantes en los procesos de búsqueda en el marco de la Ley General de Víctimas (LGV) y la Ley General de Desaparición Forzada de Personas y Desaparición Cometida por Particulares (LGDFYDP)."
doc004,4,Protocolo interdisciplinario de notificación de la identificación de personas desaparecidas y restitución digna,Herramientas para la búsqueda,Protocolo Notificación Humanitaria,Recurso para colectivos y personas buscadoras y para sensibilizar a servidores públicos,"GIASF - Grupo de Investigación en Antropología Social y Forense; SERAPAZ - Servicios y Asesoría para la Paz; Fundar, Centro de Analisis e Investigación",2021,Protocolo de notificación de identificación con perspectiva psicosocial para la restitución digna y seguimiento post restitución.,Identification notification protocol with a psychosocial perspective for dignified restitution and post-restitution follow-up.,https://www.giasf.org/publicaciones-del-giasf.html,,Carolina Robledo: carolina.robledo@ciesas.edu.mx o May-ek Querales: mayekerales@gmail.com,Giorgia,Approved,,,,"El protocolo interdisciplinario de notificación de la identificación de personas desaparecidas y restitución digna, es un trabajo colaborativo elaborado por Espacio Psicosocial por los Derechos Humanos, Centro de Análisis e Investigación (FUNDAR), el Grupo de Investigación en Antropología Social y Forense (GIASF) y la organización Servicios y Asesoría para la Paz A.C. (Serapaz). El protocolo es una herramienta que incorpora la perspectiva psicosocial a los procesos forenses, desde la exhumación hasta la restitución de los cuerpos, con el objetivo de tener un trato digno y sensible hacia los cuerpos y las familias; que pueda comprender los impactos psicosociales de estos procesos. Esperamos que el protocolo sirva como una guía para los familiares, para los actores sociales y para las autoridades que participan de estos procesos. La elaboración ha sido formulada recuperando diversos testimonios para construir una perspectiva transversal y garantizar así procesos de notificación apegados a los derechos de las víctimas de desaparición."
doc005,5,Guía contra la violencia de género en ministerios públicos,Herramientas para la búsqueda,Guía vs violencia género en ministerios públicos,Recurso para colectivos y personas buscadoras y para sensibilizar a servidores públicos,Impunidad Cero y TOJIL,2019,"Guia dirigida a mujeres para exigir sus derechos, evitar violencia, revictimización y maltrato en ministerios públicos.","Guide for women to demand their rights, avoid violence, re-victimization and mistreatment at prosecutor’s offices.",https://www.impunidadcero.org/articulo.php?id=107&t=guia-contra-la-violencia-de-genero-en-ministerios-publicos,,Irene Tello: irene.tello.arista@gmail.com,Giorgia,Approved,,,,"Existen particularidades que diferencian la violencia que sufren las mujeres del resto de los casos. Entre ellas, están la forma en la que los delitos son cometidos, la relación que guardan las víctimas con su agresor y los lugares en los que ocurren los hechos. Las mujeres son, además, víctimas mayoritarias de determinados tipos de violencia, como la violencia sexual. En nuestro país, las mujeres enfrentan grandes dificultades cuando intentan denunciar un delito ante los ministerios públicos. Durante todo el proceso, las fallas en la operación del Sistema de Justicia Penal hacen que las víctimas (principalmente mujeres) carezcan de herramientas para exigir sus derechos, lo cual contribuye a perpetuar las formas de violencia particulares que las afectan. Para brindar a las usuarias y operadores del Sistema Penal una herramienta que ayude a garantizar la perspectiva de género en este tipo de delitos, Tojil e Impunidad Cero hemos preparado una Guía contra la violencia de género en ministerios públicos, que señala los principales actos de violencia, revictimización y corrupción que sufren las mujeres durante el curso de un procedimiento penal debido a las malas prácticas de los operadores."
doc006,6,Guía práctica para denunciar un delito,Herramientas para la búsqueda,Guía para denuncias,Recurso para colectivos y personas buscadoras,Impunidad Cero y Denuncia.org,2020,Serie de herramientas para detectar si uno es víctima de un delito y cuáles son los pasos a seguir para denunciarlo.,Toolbox to determine if you are a victim of a crime and what are the steps to follow to report it.,https://www.impunidadcero.org/articulo.php?id=156&t=guia-practica-para-denunciar-un-delito,,Irene Tello: irene.tello.arista@gmail.com,Giorgia,Approved,,,,"En México, la probabilidad de que un delito se denuncie y se esclarezca es de tan solo 1.3%. Esta cifra se compone, por un lado, de la baja efectividad de las procuradurías y fiscalías del país y de  la enorme cifra negra que existe, ya que en México solo 7 de cada 100 delitos se denuncian. Por ello, creamos la Guía práctica para denunciar un delito, la cual puedes encontrar y descargar completamente gratis en denuncia.org. Esta guía te servirá para saber: Qué es un delito. Qué puedes denunciar ante un Ministerio Público. Los pasos para denunciar un delito. Las obligaciones que tienen las autoridades cuando denuncias un delito"
doc007,7,Guía contra la corrupción en ministerios públicos,Herramientas para la búsqueda,Guía vs corrupción en ministerios públicos,Recurso para colectivos y personas buscadoras y para sensibilizar a servidores públicos,Impunidad Cero y TOJIL,2019,La Guía contra la corrupción en ministerios publicos para combatir la impunidad y garantizar procesos de justicia.,Guide against corruption at prosecutor’s offices to fight impunity and guarantee justice during judicial processes.,https://www.impunidadcero.org/articulo.php?id=104&t=guia-contra-la-corrupcion-en-ministerios-publicos,,Irene Tello: irene.tello.arista@gmail.com,Giorgia,Approved,,,,"Tener una sociedad informada de sus derechos en materia de justicia penal es crucial para combatir la impunidad y lograr que el proceso penal cumpla con sus funciones de impartición de justicia. Sin embargo, la complejidad del lenguaje jurídico y las malas prácticas de los operadores del sistema, que se presentan desde la denuncia y durante la investigación, contribuyen a que denunciar un delito sea un proceso tortuoso y en ocasiones se cometan actos de corrupción y abusos de las autoridades. Para brindar información clara sobre el proceso penal que contribuya a evitar actos de corrupción y de violación de los derechos de los usuarios, Impunidad|Cero en conjunto con TOJIL, estrategia contra la impunidad presentamos el artículo Impunidad y corrupción en las procuradurías y fiscalías, ¿qué podemos hacer los usuarios?, que incluye una Guía contra la corrupción en ministerios públicos que expone de una manera clara cómo debe funcionar el proceso penal y reúne las quince conductas más recurrentes por parte de los funcionarios de las fiscalías y procuradurías que lo entorpecen y transgreden los derechos tanto de la víctima u ofendido como del imputado, generando corrupción e impunidad."
doc008,8,10 preguntas clave sobre la Ley en materia de Desaparición Forzada,Herramientas para la búsqueda,Guía sobre Ley de Desaparición Forzada,Recurso para colectivos y personas buscadoras y para sensibilizar a servidores públicos,Centro Prodh - Centro de Derechos Humanos Miguel Agustín Pro Juárez,2018,"Guia sobre la Ley General en materia de Desaparición Forzada de Personas, Desapariciones Cometidas por Particulares y del Sistema Nacional de Búsqueda.","Guide on the General Law on Forced Disappearance, Disappearances Committed by Private Parties and the National Search System.",https://centroprodh.org.mx/2018/12/18/10-preguntas-clave-sobre-la-ley-en-materia-de-desaparicion-forzada/,,Meyatzin Velasco Santiago: educacion2@centroprodh.org.mx,Giorgia,Approved,,,,"Desde hace más de una década, México enfrenta una grave crisis de derechos humanos; una de sus más claras expresiones ha sido el incremento de las desapariciones. Para 2018, el Registro Nacional de Personas Desaparecidas reportó más de 37 mil personas cuyo paradero es desconocido. En este contexto, diversos mecanismos internacionales de protección a los derechos humanos como la Organización de las Naciones Unidas (ONU) y la Comisión Interamericana de Derechos Humanos, recomendaron a México adoptar una Ley General para prevenir y sancionar las desapariciones. El Estado mexicano se resistió a cumplir estas recomendaciones, pero gracias al impulso de los colectivos de familiares y de las organizaciones de derechos humanos, la Ley General en Materia de Desaparición Forzada de Personas, Desaparición cometida por Particulares y del Sistema Nacional de Búsquedas fue aprobada y publicada el 17 de noviembre de 2017. Sabiendo que en México las buenas leyes suelen quedar sin aplicarse y que muchas veces es difícil que sus contenidos sean accesibles para las familias de las víctimas, este material busca aportar algunos elementos sobre el contenido de esta importante norma. Si bien no agotaremos todo el contenido de la ley, sí destacaremos sus principales elementos, con la intención de que todas y todos podemos darle uso."
doc009,9,No somos expedientes. Guía práctica para familiares en búsqueda de personas desaparecidas que dan seguimiento a sus denuncias ante el Ministerio Público,Herramientas para la búsqueda,Guia para personas buscadoras,Recurso para colectivos y personas buscadoras,Centro Prodh - Centro de Derechos Humanos Miguel Agustín Pro Juárez,2020,Guía práctica para familiares en búsqueda de personas desaparecidas que dan seguimiento a sus denuncias ante el Ministerio Público.,Practical guide for family members in search of disappeared persons following up on their reports to the prosecutor's office.,https://centroprodh.org.mx/2020/10/20/no-somos-expedientes/,,Meyatzin Velasco Santiago: educacion2@centroprodh.org.mx,"Giorgia / 
Isabella Maganda Garcia Bernstein",Approved,YES,,,"Desde el Centro Prodh -retomando las preguntas y experiencias que distintos colectivos en búsqueda de personas desaparecidas nos han compartido- hemos realizado esta guía práctica que tiene la finalidad de auxiliar a las y los familiares en las acciones que impulsan ante las instancias encargadas de velar por la verdad y la justicia en México. Los pasos que aquí encontrarás están encaminados a que puedas dar seguimiento a tu denuncia ante el Ministerio Público de una manera ordenada, clara y sencilla. Sabemos que este caminar en búsqueda de tu familiar es en extremo difícil y que muchas veces no hay información que oriente por dónde andar. Por ello, esperamos que con esta guía práctica cuentes con una herramienta que dé un poco de luz en tu camino. Los contenidos fueron escritos a partir de preguntas y proponemos que los sigas paso a paso. En caso de que sólo quieras consultar algunos contenidos, también puedes hacerlo. Esta guía puede servir también para apoyar a otras familias que seguramente necesitarán de tu ayuda."
doc010,10,Guía del Buen Brigadista. 4a Brigada Nacional de Búsqueda de Personas Desaparecidas en Guerrero,Herramientas para la búsqueda,Guía Brigada de Búsqueda,Recurso para colectivos y personas buscadoras,Brigada Nacional de Búsqueda de Personas Desaparecidas,2019,Guía para familiares y personas solidarias participantes en la 4ª Brigada Nacional de Búsqueda de Personas desaparecidas en Guerrero en 2019.,Guide for family members and people working in solidarity participating in the 4th National Brigade in Search for the Disappeared in Guerrero in 2019.,Brigada Nacional de Búsqueda de Personas Desaparecidas ,,Montserrat Castillo: moncastillop@gmail.com,Jordan,Approved,YES,,,Guía interna y logística para buscadores
